Console\.,Use of  {match} is not permitted in MetalUp.Express,csharp
System\.,Explicit use of the 'System' namespace is unnecessary, and not permitted,csharp
\s*var\s,Use of  {match} is not permitted,csharp
\w*[^=]=[^=],Assignment statement (single '=') is not permitted. (If you intended to test for equality, use '=='),csharp
\susing\s\w*,'using' statements for all permissible functions are automatically provided (behind the scenes). No additional 'using' statements are permitted.,csharp
\spublic\s|\sprivate\s|\sprotected\s|\sclass\s|\sabstract\s,Use of {match}  is not permitted,csharp
\WArrayList\W,,csharp
\Wnew\s*Random\W,Use of the system Random generator,csharp
\WDateTime\.,Calling Today or Now on DateTime,csharp
\s*print*\s*\(,Use of  {match} is not permitted,python
\s*input*\s*\(,Use of  {match} is not permitted,python
\w*[^=]=[^=],Assignment statement (single '=') is not permitted,python
\.append,'append' to a List is not permitted as it is a mutating method. Hint: you may use '+' to append a list to a list.,python